index,title,year,runtime,genre,rating,description,director,actors,votes,language,budget,worldwide_gross,worldwide_share,domestic_nett,verdict
1.,RRR,(2022),187 min,"
Action, Adventure, Drama            ",7.9,"
A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.",S.S. Rajamouli,"['N.T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt']",138799, Telugu, 425cr, 1208.5cr, 638.4cr, 784.2cr, Blockbuster 
2.,K.G.F: Chapter 2,(2022),168 min,"
Action, Crime, Drama            ",8.3,"
In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,"['Yash', 'Sanjay Dutt', 'Raveena Tandon', 'Srinidhi Shetty']",137374, Kannada , 150cr, 1207.9cr, 600.8cr, 855.3cr, All Time Blockbuster
3.,Ponniyin Selvan: Part One,(2022),167 min,"
Action, Adventure, Drama            ",7.7,"
Vandiyathevan sets out to cross the Chola land to deliver a message from the Crown Prince Aditha Karikalan. Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne. Unrest grips the land as a long-tailed comet arrives, signalling a time of turmoil.",Mani Ratnam,"['Vikram', 'Aishwarya Rai Bachchan', 'Jayam Ravi', 'Karthi']",31311, Tamil, 210cr, 490.6cr, 238.1cr, 278.2cr, Blockbuster
4.,Vikram,(2022),175 min,"
Action, Crime, Thriller            ",8.3,"
A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Lokesh Kanagaraj,"['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Narain']",62014, Tamil, 115cr, 420.5cr, 213.5cr, 255.4cr, Double Blockbuster
5.,Kantara,(2022),148 min,"
Action, Adventure, Drama            ",8.3,"
It involves culture of Kambala and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he be able to regain peace in the village?",Rishab Shetty,"['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda']",91950, Kannada, 15cr, 393.3cr, 189.8cr, 305.5cr, Double Blockbuster 
6.,Beast,(II) (2022),155 min,"
Action, Comedy, Thriller            ",5.2,"
After a shopping mall in Chennai had been hijacked by terrorists who held the visitors as hostages, Veera Raghavan, a spy also trapped in the mall, decides to save the hostages by eliminating the terrorists.",Nelson Dilipkumar,"['Joseph Vijay', 'Pooja Hegde', 'K. Selvaraghavan', 'Shine Tom Chacko']",34048, Tamil, 130cr, 224.4cr, 115.3cr, 139.9cr, Above Average
7.,Sarkaru Vaari Paata,(2022),162 min,"
Action, Drama            ",5.6,"
After being conned by the woman he loves, a finance agent arrives in India from USA to retrieve his money from the woman's father, a powerful MP and an industrialist.",Parasuram,"['Keerthy Suresh', 'Mahesh Babu', 'Samuthirakani', 'Mahesh Manjrekar']",10289, Telugu, 125cr, 181.9cr, 111.8cr, 130.6cr, Above Average
8.,Bheemla Nayak,(2022),130 min,"
Action, Drama, Thriller            ",6.3,"
Things change when the egos of an upright police officer and a retired army havildar clash.",Saagar K Chandra,"['Pawan Kalyan', 'Rana Daggubati', 'Nithya Menen', 'Samyuktha Menon']",9580, Telugu , 105cr, 161.3cr, 96.8cr, 114.5cr, Above Average
9.,Valimai,(2022),178 min,"
Action, Crime, Thriller            ",6.1,"
Arjun, an IPS officer sets out for a mission on hunting down illegal bikers involving in theft and murder.",H. Vinoth,"['Ajith Kumar', 'Huma Qureshi', 'Kartikeya Gummakonda', 'Gurbani']",20023, Tamil, 125cr, 159.3cr, 83.1cr, 104.3cr , Average
10.,Radhe Shyam,(2022),138 min,"
Drama, Romance            ",5.3,"
In 1976, Vikramaditya, a palmist and disciple of Paramahamsa, predicts to Indian Prime Minsiter Indira Gandhi that soon she will declare emergency in the country. The prediction comes true ...                See full summary »
",K.K. Radhakrishna Kumar,"['Prabhas', 'Pooja Hegde', 'Bhagyashree Patwardhan', 'Krishnamraju']",29928, Telugu, 250cr, 148.4cr, 85.8cr, 103.9cr, Disaster
11.,Don,(2022),165 min,"
Comedy, Drama, Romance            ",6.8,"
Follows the life of a youngster from college to his marriage.",Cibi Chakravarthi,"['Sivakarthikeyan', 'Priyanka Arulmohan', 'S.J. Suryah', 'Samuthirakani']",10096, Tamil, 40cr, 121.5cr, 64.1cr, 82.3cr , Blockbuster
12.,Karthikeya 2,(2022),150 min,"
Action, Adventure, Fantasy            ",8,"
A sequel to mystic thriller Karthikeya (2014), which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.",Chandoo Mondeti,"['Nikhil Siddharth', 'Anupama Parameswaran', 'Srinivasa Reddy', 'Harsha Chemudu']",62585, Telugu, 25cr, 113.3cr, 58.6cr, 83.6cr, Double Blockbuster 
13.,Thiruchitrambalam,(2022),131 min,"
Comedy, Drama, Musical            ",7.9,"
Thiruchitrambalam lives with his father and grandfather. He blames the former for the loss of his mother and sister and is not on good terms with the latter. Meanwhile, his love life is not so successful.",Mithran Jawahar,"['Dhanush', 'Nithya Menen', 'Bharathiraja', 'Prakash Raj']",11007, Tamil, 30cr, 104.7cr, 51.6cr, 66.9cr, Double Blockbuster 
14.,Godfather,(2022),157 min,"
Action, Crime, Drama            ",5.3,"
After the death of a political leader, a mysterious man steps in to ascend the throne.",Mohan Raja,"['Chiranjeevi', 'Salman Khan', 'Nayanthara', 'Satyadev Kancharana']",6982, Telugu, 95cr, 102cr, 55.5cr, 75.6cr, Flop
15.,777 Charlie,(2022),164 min,"
Adventure, Comedy, Drama            ",8.9,"
Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.",Kiranraj K,"['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty']",33659, Kannada, 15cr, 100.5cr, 53.3cr, 82.4cr, Double Blockbuster
16.,Love Today,(2022),154 min,"
Comedy, Drama, Romance            ",8.1,"
Two young lovers, who are made to exchange their phones for a day and what happens due to that.",Pradeep Ranganathan,"['Pradeep Ranganathan', 'Ivana', 'Yogi Babu', 'Raveena Ravi']",12439, Tamil, 15cr, 93.6cr, 46.4cr, 70.8cr, Double Blockbuster 
17.,F3: Fun and Frustration,(2022),148 min,"
Comedy, Family, Romance            ",4.7,"
Venky and Varun, who try to come up from financial problems. But what will happen when they meet Pragathi Family who are greedy for money?",Anil Ravipudi,"['Pooja Hegde', 'Tamannaah Bhatia', 'Venkatesh Daggubati', 'Mehreen Pirzada']",2092, Telugu, 65cr, 92.7cr, 53.6cr, 66.7cr, Average
18.,Sita Ramam,(2022),163 min,"
Action, Drama, Mystery            ",8.6,"
An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",Hanu Raghavapudi,"['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth']",57041, Telugu, 30cr, 92.4cr , 47.2cr , 65.9cr , Double Blockbuster  
19.,Bheeshmaparvam,(2022),144 min,"
Action, Crime, Drama            ",7.7,"
Michael helms his ancestral family in Kochi, inspiring fear and respect through his past. When a few younger members of the household find his power over their lives too aggravating, they join hands with foes to clamp down on him.",Amal Neerad,"['Mammootty', 'Soubin Shahir', 'Sreenath Bhasi', 'Nadia Moidu']",12149, Malayalam, 20cr, 87cr, 38.3cr, 44.2cr, Double Blockbuster
20.,Sardar,(2022),166 min,"
Action, Drama            ",7.6,"
A spy, who is estranged from his family due to a mission, suddenly meets his police officer son.",P.S. Mithran,"['Karthi', 'Raashi Khanna', 'Mohammad Ali Baig', 'Rithvik Jothi Raj']",6198, Tamil, 40cr, 85.7cr, 42.4cr, 58.8cr, Hit
21.,James,(I) (2022),149 min,"
Action, Comedy, Drama            ",7.5,"
James also called Santhosh Kumar, who works as a manager in a security company and finds himself up against the big bad guys.",Chethan Kumar,"['Puneeth Rajkumar', 'Priya Anand', 'Meka Srikanth', 'Anu Prabhakar']",8195, Kannada, 30cr, 79.5cr, 46.7cr, 65.1cr, Blockbuster
22.,Dhamaka,(II) (2022),144 min,"
Action, Comedy, Thriller            ",6.6,"
Swamy and Anand who look exactly the same, come from different backgrounds. Under dicey circumstances Pranavi, a young and pretty girl falls in love with both of them. How will Swamy and Anand solve their problems?",Trinadha Rao Nakkina,"['Ravi Teja', 'Sreeleela', 'Jayaram', 'Sachin Khedekar']",4604, Telugu, 30cr, 77.2cr, 43.9cr, 60.9cr, Blockbuster 
23.,Etharkkum Thunindhavan,(2022),151 min,"
Action, Crime, Drama            ",6.5,"
A lawyer turns judge jury and executioner and goes after a gang, led by a minister's son, that threatens women with videos of them.",Pandiraj,"['Suriya', 'Priyanka Arulmohan', 'Sathyaraj', 'Saranya Ponvannan']",12965, Tamil, 60cr, 75.8cr, 39.2cr, 51.2cr, Average
24.,VR (Vikrant Rona),(2022),148 min,"
Action, Crime, Drama            ",7,"
Almost half a century ago, a remote village in the middle of a tropical rainforest starts witnessing a series of unexplainable events which they attribute to the supernatural.",Anup Bhandari,"['Sudeep', 'Nirup Bhandari', 'Neetha Ashok', 'Jacqueline Fernandez']",27596, Kannada, 65cr, 70.3cr, 34.6cr, 56.8cr, Below Average 
25.,Acharya,(2022),152 min,"
Action, Drama            ",3.8,"
Touted to be a socio-political actioner, the plot revolves around a middle-aged Naxalite-turned-social reformer who launches a fight against the Endowments Department over misappropriation of temple funds and donations.",Koratala Siva,"['Chiranjeevi', 'Ram Charan', 'Pooja Hegde', 'Sonu Sood']",4423, Telugu, 135cr, 70.1cr, 46.7cr, 50.2cr, Disaster
26.,Major,(2022),150 min,"
Action, Biography, Drama            ",8.1,"
Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",Sashi Kiran Tikka,"['Adivi Sesh', 'Prakash Raj', 'Revathi', 'Saiee Manjrekar']",29783, Telugu, 25cr, 65.8cr, 33.8cr, 44.7cr , Double Blockbuster
27.,Bangarraju,(2022),150 min,"
Drama            ",5.7,"
Bangarraju and Satyabhama come down to settle the life of their grandson Chinna Bangarraju and to save the treasure of temple.",Kalyan Krishna,"['Nagarjuna Akkineni', 'Ramya Krishnan', 'Naga Chaitanya Akkineni', 'Krithi Shetty']",2063, Telugu, 35cr, 65.2cr, 38.5cr, 52.5cr, Hit
28.,Viruman,(2022),149 min,"
Action, Drama            ",4.9,"
An intrepid and good-hearted son fights to make his arrogant father pay the price for his sins, which includes his mother's death, and save his brothers from the man's grip.",M. Muthaiah,"['Arundhati', 'Manoj K. Bharathi', 'Manoj Bharathiraja', 'Ilavarasu']",2039, Tamil, 30cr, 62.3cr, 31.2cr, 45.5cr, Hit
